obs,id,like,comment,share,engagement,log_engage,length,question,valence,hashtag,picture,url,at_mention,emoji
203,133082,4,2,1,7,2.0794415416798357,27,0,2.5,0,1,1,0,1
204,133083,1,2,0,3,1.3862943611198906,30,0,3.0,0,1,2,0,1
205,133084,14,11,0,25,3.258096538021482,23,0,0.0,0,1,1,0,3
206,133085,0,1,0,1,0.6931471805599453,19,0,0.0,0,0,1,0,0
207,133086,1,4,0,5,1.791759469228055,6,0,0.0,0,0,0,0,0
208,133087,0,3,1,4,1.6094379124341003,32,0,1.6,0,0,1,0,0
209,133088,1,3,0,4,1.6094379124341003,45,0,3.3929,0,0,0,0,0
210,133089,0,6,0,6,1.9459101490553132,41,0,0.0,0,0,1,0,0
211,133090,2,1,0,3,1.3862943611198906,24,0,3.2855,0,0,0,0,0
212,133091,0,0,0,0,0.0,41,0,0.0,0,0,1,0,0
213,133092,1,1,0,2,1.0986122886681098,29,0,0.2142999999999999,0,0,0,0,0
214,133093,0,5,0,5,1.791759469228055,20,0,0.0,0,0,2,0,0
215,133094,0,2,0,2,1.0986122886681098,41,0,1.6,0,0,0,0,0
216,133095,0,0,0,0,0.0,26,0,1.6,0,0,1,0,0
217,133096,2,0,0,2,1.0986122886681098,33,0,0.5357000000000003,0,0,0,0,0
218,133097,0,1,1,2,1.0986122886681098,14,0,0.0,0,0,1,0,0
