obs,id,like,comment,share,engagement,log_engage,length,question,valence,hashtag,picture,url,at_mention,emoji
324,133204,0,2,0,2,1.0986122886681098,30,0,0.0,0,0,0,0,0
325,133205,0,2,0,2,1.0986122886681098,26,0,0.0,0,0,0,0,0
326,133206,0,2,0,2,1.0986122886681098,27,1,0.0,0,0,2,0,0
327,133207,0,0,0,0,0.0,37,0,0.7000000000000002,0,0,0,0,0
328,133208,0,3,0,3,1.3862943611198906,15,0,0.0,0,0,1,0,0
329,133209,0,0,0,0,0.0,16,0,0.0,0,0,1,0,0
330,133210,0,1,0,1,0.6931471805599453,25,0,0.0,0,0,1,0,0
331,133211,0,1,0,1,0.6931471805599453,27,0,0.0,0,0,2,0,0
332,133212,0,0,0,0,0.0,39,0,0.7000000000000002,0,0,1,0,0
333,133213,0,1,0,1,0.6931471805599453,39,0,-3.3125,0,0,0,0,0
334,133214,0,0,0,0,0.0,42,0,2.32815,0,0,1,0,0
335,133215,0,0,0,0,0.0,31,0,3.3929,0,0,1,0,0
336,133216,0,3,0,3,1.3862943611198906,8,0,0.0,0,0,0,0,0
337,133217,0,1,0,1,0.6931471805599453,15,0,0.0,0,0,1,0,0
338,133218,0,1,0,1,0.6931471805599453,17,0,0.0,0,0,0,0,0
339,133219,0,1,0,1,0.6931471805599453,41,0,1.6,0,0,1,0,0
340,133220,0,3,0,3,1.3862943611198906,41,0,0.0,0,0,1,0,0
